ID_Product;Quantity;Quantity_Fourniss_After_Cumule;Devise
50508919;1;1;1
50508918;1;1;1
50508841;0;0;0
50521274;4;4;4
60624991;1;1;1
60613568;0;0;0
46763386;0;0;0
50706132;0;0;0
50515181;0;0;0
8F0413029B;2;2;2
8F0413030B;1;1;1
8R0513025J;0;0;0
8R0513026J;0;0;0
4F0616031M;0;0;0
4F0616032M;0;0;0
4G0616031J;0;0;0
8J0413029E;3;3;3
8J0513025A;0;0;0
8V0513021E;0;0;0
420412019AJ;0;0;0
420412020AJ;0;0;0
420512019AM;0;0;0
420512020AM;0;0;0
4M0616031AT;0;0;0
1J0513025AA;0;0;0
8Z0413031AB;0;0;0
1K0513029GK;0;0;0
6R0513025AH;0;0;0
8E0413031AK;0;0;0
8E0513033A;2;2;2
8D0513031D;3;3;3
4B0412031M;2;2;2
8E0513035S;4;4;4
8D0513031A;0;0;0
8K0413031AE;2;2;2
8K0513035AK;2;2;2
4F0413031AA;0;0;0
4F0513032H;4;4;4
5Q0413031GN;0;0;0
5Q0413023CP;0;0;0
5Q0513049BF;0;0;0
5Q0513029AS;0;0;0
8R0413031BC;2;2;2
8R0513035C;3;3;3
8J0413029M;2;2;2
8V0413029P;0;0;0
4M0616031AT;0;0;0
321413503B;0;0;0
4A0513031;0;0;0
8A5413029F;0;0;0
80A413029F;0;0;0
80A616025Q;0;0;0
4S0412019C;0;0;0
4S0512019B;0;0;0
4F0616039AA;0;0;0
4F0616040AA;0;0;0
4H0616039D;0;0;0
4H0616001M;0;0;0
37116863173;4;4;4
37116863174;2;2;2
37106875089;0;0;0
37106875090;0;0;0
37116797025;0;0;0
37116797026;0;0;0
37126799911;0;0;0
37106865565;0;0;0
37106865566;0;0;0
37126793911;0;0;0
37106869019;0;0;0
37106869020;0;0;0
37106869023;0;0;0
37106869024;0;0;0
37106866389;0;0;0
37106866390;0;0;0
37116796935;0;0;0
37116796936;0;0;0
33521029309;0;0;0
31316767321;0;0;0
31311093644;2;2;2
33521094046;0;0;0
33521093646;0;0;0
31306764916;2;2;2
31306764917;3;3;3
33506758383;4;4;4
31300363599;0;0;0
31300363600;1;1;1
33503451402;2;2;2
31306757361;2;2;2
31306757044;2;2;2
31316780488;2;2;2
33526781931;1;1;1
33526781926;0;0;0
31316768915;0;0;0
31316768916;2;2;2
31316789573;1;1;1
31316789574;1;1;1
33526788495;0;0;0
31306771177;3;3;3
31306771178;5;5;5
31316775575;1;1;1
31316775576;0;0;0
33526784019;4;4;4
31316856715;0;0;0
31316856716;0;0;0
33526856700;0;0;0
31306754341;1;1;1
31306754342;1;1;1
33506751543;0;0;0
31306775055;3;3;3
31306775056;2;2;2
33526766065;4;4;4
31316777141;2;2;2
31316777142;2;2;2
